"","cohort","mcohort","resp.var","cv.fold","family","var.type","metric","non.trivial","value"
"153","ccChina","ccChina","group",53,"binomial","BGC","auc",TRUE,0.800800800800801
"154","ccChina","ccChina","group",54,"binomial","BGC","auc",TRUE,0.692442442442442
"155","ccChina","ccChina","group",55,"binomial","BGC","auc",TRUE,0.783783783783784
"156","ccChina","ccChina","group",56,"binomial","BGC","auc",TRUE,0.833583583583584
"157","ccChina","ccChina","group",57,"binomial","BGC","auc",TRUE,0.775525525525526
"158","ccChina","ccChina","group",58,"binomial","BGC","auc",TRUE,0.772522522522523
"159","ccChina","ccChina","group",59,"binomial","BGC","auc",TRUE,0.80518018018018
"160","ccChina","ccChina","group",60,"binomial","BGC","auc",TRUE,0.810810810810811
"161","ccChina","ccChina","group",61,"binomial","BGC","auc",TRUE,0.816066066066066
"162","ccChina","ccChina","group",62,"binomial","BGC","auc",TRUE,0.80005005005005
"163","ccChina","ccChina","group",63,"binomial","BGC","auc",TRUE,0.77002002002002
"164","ccChina","ccChina","group",64,"binomial","BGC","auc",TRUE,0.781031031031031
"165","ccChina","ccChina","group",65,"binomial","BGC","auc",TRUE,0.789039039039039
"166","ccChina","ccChina","group",66,"binomial","BGC","auc",TRUE,0.792042042042042
"167","ccChina","ccChina","group",67,"binomial","BGC","auc",TRUE,0.802052052052052
"168","ccChina","ccChina","group",68,"binomial","BGC","auc",TRUE,0.806306306306306
"169","ccChina","ccChina","group",69,"binomial","BGC","auc",TRUE,0.79004004004004
"170","ccChina","ccChina","group",70,"binomial","BGC","auc",TRUE,0.811061061061061
"171","ccChina","ccChina","group",71,"binomial","BGC","auc",TRUE,0.758008008008008
"172","ccChina","ccChina","group",72,"binomial","BGC","auc",TRUE,0.807807807807808
"173","ccChina","ccChina","group",73,"binomial","BGC","auc",TRUE,0.792542542542543
"174","ccChina","ccChina","group",74,"binomial","BGC","auc",TRUE,0.832832832832833
"175","ccChina","ccChina","group",75,"binomial","BGC","auc",TRUE,0.778778778778779
"176","ccChina","ccChina","group",76,"binomial","BGC","auc",TRUE,0.789289289289289
"177","ccChina","ccChina","group",77,"binomial","BGC","auc",TRUE,0.772022022022022
"178","ccChina","ccChina","group",78,"binomial","BGC","auc",TRUE,0.794794794794795
"179","ccChina","ccChina","group",79,"binomial","BGC","auc",TRUE,0.790540540540541
"180","ccChina","ccChina","group",80,"binomial","BGC","auc",TRUE,0.816191191191191
"181","ccChina","ccChina","group",81,"binomial","BGC","auc",TRUE,0.807307307307307
"182","ccChina","ccChina","group",82,"binomial","BGC","auc",TRUE,0.807057057057057
"183","ccChina","ccChina","group",83,"binomial","BGC","auc",TRUE,0.798798798798799
"184","ccChina","ccChina","group",84,"binomial","BGC","auc",TRUE,0.771021021021021
"185","ccChina","ccChina","group",85,"binomial","BGC","auc",TRUE,0.813063063063063
"186","ccChina","ccChina","group",86,"binomial","BGC","auc",TRUE,0.782282282282282
"187","ccChina","ccChina","group",87,"binomial","BGC","auc",TRUE,0.781031031031031
"188","ccChina","ccChina","group",88,"binomial","BGC","auc",TRUE,0.786036036036036
"189","ccChina","ccChina","group",89,"binomial","BGC","auc",TRUE,0.802802802802803
"190","ccChina","ccChina","group",90,"binomial","BGC","auc",TRUE,0.831331331331331
"191","ccChina","ccChina","group",91,"binomial","BGC","auc",TRUE,0.782532532532533
"192","ccChina","ccChina","group",92,"binomial","BGC","auc",TRUE,0.779029029029029
"193","ccChina","ccChina","group",93,"binomial","BGC","auc",TRUE,0.774274274274274
"194","ccChina","ccChina","group",94,"binomial","BGC","auc",TRUE,0.837087087087087
"195","ccChina","ccChina","group",95,"binomial","BGC","auc",TRUE,0.790790790790791
"196","ccChina","ccChina","group",96,"binomial","BGC","auc",TRUE,0.84009009009009
"197","ccChina","ccChina","group",97,"binomial","BGC","auc",TRUE,0.802552552552553
"198","ccChina","ccChina","group",98,"binomial","BGC","auc",TRUE,0.792792792792793
"199","ccChina","ccChina","group",99,"binomial","BGC","auc",TRUE,0.790540540540541
"200","ccChina","ccChina","group",100,"binomial","BGC","auc",TRUE,0.796296296296296
"201","ccUSA","ccUSA","group",1,"binomial","BGC","auc",TRUE,0.6875
"202","ccUSA","ccUSA","group",2,"binomial","BGC","auc",TRUE,0.668639053254438
"203","ccUSA","ccUSA","group",3,"binomial","BGC","auc",TRUE,0.697855029585799
"204","ccUSA","ccUSA","group",4,"binomial","BGC","auc",TRUE,0.604659763313609
"205","ccUSA","ccUSA","group",5,"binomial","BGC","auc",TRUE,0.707100591715976
"206","ccUSA","ccUSA","group",6,"binomial","BGC","auc",TRUE,0.721153846153846
"207","ccUSA","ccUSA","group",7,"binomial","BGC","auc",TRUE,0.681952662721893
"208","ccUSA","ccUSA","group",8,"binomial","BGC","auc",TRUE,0.66198224852071
"209","ccUSA","ccUSA","group",9,"binomial","BGC","auc",TRUE,0.728180473372781
"210","ccUSA","ccUSA","group",10,"binomial","BGC","auc",TRUE,0.702662721893491
"211","ccUSA","ccUSA","group",11,"binomial","BGC","auc",TRUE,0.719304733727811
"212","ccUSA","ccUSA","group",12,"binomial","BGC","auc",TRUE,0.753698224852071
"213","ccUSA","ccUSA","group",13,"binomial","BGC","auc",TRUE,0.70155325443787
"214","ccUSA","ccUSA","group",14,"binomial","BGC","auc",FALSE,0.5
"215","ccUSA","ccUSA","group",15,"binomial","BGC","auc",TRUE,0.690828402366864
"216","ccUSA","ccUSA","group",16,"binomial","BGC","auc",TRUE,0.674556213017751
"217","ccUSA","ccUSA","group",17,"binomial","BGC","auc",TRUE,0.639792899408284
"218","ccUSA","ccUSA","group",18,"binomial","BGC","auc",TRUE,0.731139053254438
"219","ccUSA","ccUSA","group",19,"binomial","BGC","auc",FALSE,0.5
"220","ccUSA","ccUSA","group",20,"binomial","BGC","auc",FALSE,0.5
"221","ccUSA","ccUSA","group",21,"binomial","BGC","auc",TRUE,0.590236686390533
"222","ccUSA","ccUSA","group",22,"binomial","BGC","auc",TRUE,0.681952662721893
"223","ccUSA","ccUSA","group",23,"binomial","BGC","auc",TRUE,0.720414201183432
